地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数
吉林,2013,1457.0,6.724,9427.9,97.96868,1359.03132
黑龙江,2013,1997.0,4.355,11849.1,86.96935000000002,1910.03065
上海,2013,1368.91,18.499,23204.1,253.2346609,1115.6753391000002
江苏,2013,4791.9,6.673,59349.4,319.763487,4472.1365129999995
浙江,2013,3436.0,8.259,37334.6,283.77924,3152.22076
安徽,2013,4275.9,4.058,20584.0,173.51602199999996,4102.383978
福建,2013,2210.0,7.827,22503.8,172.9767,2037.0233
江西,2013,2362.0,3.777,14300.2,89.21274,2272.78726
山东,2013,5840.0,6.66,47344.3,388.944,5451.056
河南,2013,5094.0,3.656,31632.5,186.23664,4907.76336
湖北,2013,3404.0,4.863,25378.0,165.53652000000002,3238.46348
湖南,2013,4036.45,4.771,23545.2,192.5790295,3843.8709704999997
广东,2013,6273.0,5.638,62503.4,353.67174,5919.32826
广西,2013,2782.26,2.991,12448.4,83.21739660000001,2699.0426034
海南,2013,490.56,5.029,3115.9,24.670262400000002,465.8897376
重庆,2013,1618.69,5.543,13027.6,89.72398670000001,1528.9660133
四川,2013,4634.0,4.265,26518.0,197.6401,4436.3599
贵州,2013,1796.0,3.652,7973.1,65.58992,1730.41008
云南,2013,2835.0,4.242,12825.5,120.2607,2714.7393
西藏,2013,175.0,2.589,828.2,4.53075,170.46925
陕西,2013,2090.0,7.182,15905.4,150.1038,1939.8962
甘肃,2013,1352.0,5.761,6014.5,77.88872,1274.11128
青海,2013,296.0,6.776,1713.3,20.05696,275.94304
宁夏,2013,345.0,5.169,2327.7,17.83305,327.16695
新疆,2013,1260.0,6.849,8392.6,86.2974,1173.7026
北京,2014,1141.8,37.37,22926.0,426.69066,715.10934
天津,2014,718.0,15.85,10640.6,113.803,604.197
河北,2014,3978.0,5.53,25208.9,219.9834,3758.0166
山西,2014,1842.0,5.99,12094.7,110.3358,1731.6642
内蒙古,2014,1360.0,6.92,12158.2,94.11200000000001,1265.888
辽宁,2014,2562.23,7.5,20025.7,192.16725,2370.06275
吉林,2014,1427.01,7.25,9966.5,103.458225,1323.551775
黑龙江,2014,1946.0,4.63,12170.8,90.0998,1855.9002
上海,2014,1365.63,23.25,25269.8,317.508975,1048.1210250000001
江苏,2014,4812.82,7.09,64830.5,341.22893799999997,4471.5910619999995
浙江,2014,3459.0,9.72,40023.5,336.2148,3122.7852
安徽,2014,4311.03,4.8,22519.7,206.92944,4104.10056
福建,2014,2219.0,8.11,24942.1,179.9609,2039.0391
